id,name,address1,address2,latitude,longitude,extra_info,is_open,city
119,SCT Service,"мкр. Айнабулак-3, ул. Павлодарская, д. 100",100 метров от конечной остановки,43.3328,76.9227,,True,Алматы
131,SCT Service,"мкр. Акбулак, д. 23","по ул. Момышулы, ниже пр. Рыскулова, по дороге в АвтоЦОН",43.2575,76.8225,,True,Алматы
303,СТО ШЕБЕР,"мкр. Акбулак, ул. Хан шатыр, д. 287",уг. пр. Рыскулова (возле ТК Magnum по ул. Момышулы),43.2524,76.8236,,True,Алматы
54,SCT service,"мкр. Жетысу-1, д. 9","пр. Улугбека, м/у улиц Момышулы и Саина",43.224926,76.838997,,True,Алматы
248,G Energy,"пр. Райымбека, д. 542/2","напротив рынка ""Жибек Жолы""",43.2375,76.8087,,True,Алматы
246,Arsenal,"пр. Рыскулова, д. 149","ниже пр. Райымбека, между заправками ""КазМунайГаз"" и ""Royal Petrol""",43.25,76.8372,,True,Алматы
51,SCT Service,"пр. Рыскулова, д. 274","напротив ТРЦ DOMILLION, за заводом ""Маслодел""",43.255061,76.841088,,True,Алматы
299,Restart,"пр. Суюнбая, д. 211","не доезжая автосалона ""Nissan""",43.315,76.9569,,True,Алматы
290,Total,"ул. Бухтарминская, д. 2В","уг. ул. Майлина, напротив экопоста ГАИ",43.3376,77.0001,,True,Алматы
245,Столичное,"ул. Жансугурова, д. 291 А","ниже ул. Рыскулова, возле кафе ""Место встречи"" и KFC",43.3045,76.9303,,True,Алматы
100,Вираж-Сервис Казахстан,"ул. Желтоксан, д. 15","ниже пр. Райымбека, с левой стороны, ниже автосалона ""UAZ""",43.2716,76.9372,,True,Алматы
289,Шинторг,"ул. Ислама Каримова, д. 93","выше ул. Толе би, м/у улиц Розыбакиева и Тургута Озала",43.2492,76.8829,,True,Алматы
297,СТО KABAN Service,"ул. Карасай батыра, д. 162/1","уг. ул. Ауэзова, напротив школы искусства и дизайна им. А.Кастеева",43.2483,76.9035,,True,Алматы
307,VIANOR,"ул. Мустай Карим, д. 12Б","по ул. Саина, не доезжая ул. Жандосова, с правой стороны",43.2105,76.8591,,True,Алматы
252,UniMotors,"ул. Сатпаева, д. 139","уг. ул. Тлендиева, в районе ТРЦ ADK (возле АЗС ""Royal Petrol"")",43.2322,76.8731,,True,Алматы
48,SCT Service,"ул. Утеген Батыра, д. 124/1","уг. ул. Кабдолова, напротив ТРЦ Grand Park, вход со стороны ЗАГСа",43.2385,76.8602,,True,Алматы
240,Nash Service,"ул. Яссауи, д. 195 А","по ул. Шаляпина, не доезжая ул. Яссауи, с правой стороны (если ехать со стороны ул. Момышулы)",43.209,76.8361,,True,Алматы
