,address_geocoded,displayLongitude,displayLatitude,address
0,"улица Каныша Сатпаева 10, 010010 Нұр-Сұлтан, Қазақстан",71.46999,51.15041,"4 мкр-н, ул. К.Сатпаева, д. 10"
1,"проспект Богенбай батыра 6B, 010000 Нұр-Сұлтан, Қазақстан",71.39208,51.17638,"пр. Богенбай батыра, д. 6Б"
2,"проспект Абылай Хана 34, 010009 Нұр-Сұлтан, Қазақстан",71.48567,51.15404,"р-н Алматы, пр. Абылай Хана, д. 34"
3,"улица Амангельды Иманова 8, 010000 Нұр-Сұлтан, Қазақстан",71.43023,51.16269,"р-н Алматы, ул. Иманова, д. 8"
4,"улица Алматы 78, 010000 Нұр-Сұлтан, Қазақстан",71.43281,51.11575,"р-н Алматы, ул. Кенесары, д. 78"
5,"улица Алматы 14, 010000 Нұр-Сұлтан, Қазақстан",71.41937,51.117,"р-н Алматы, ул. Ш. Валиханова, д. 24"
6,"улица Достык 12, 010000 Нұр-Сұлтан, Қазақстан",71.42573,51.12616,"р-н Есиль, ул. Достык, д. 12, ВП 36"
7,"улица Есил 1, 010009 Нұр-Сұлтан, Қазақстан",71.51731,51.14382,"р-н Есиль, ул. Кунаева, д. 14/2, ВП 1"
8,"улица Сыганак 10, 010000 Нұр-Сұлтан, Қазақстан",71.41971,51.12413,"р-н Есиль, ул. Сыганак, д. 10, ВП 27"
9,"проспект Богенбай батыра 63, 010000 Нұр-Сұлтан, Қазақстан",71.4325,51.17863,"р-н Сарыарка, пр. Богенбай батыра, д. 63, кв. 38"
10,"проспект Женис 25, 010000 Нұр-Сұлтан, Қазақстан",71.41209,51.17052,"р-н Сарыарка, пр. Женис, д. 25, ВП 1"
11,"проспект Женис 8/1, 010000 Нұр-Сұлтан, Қазақстан",71.41491,51.16445,"р-н Сарыарка, пр. Женис, д. 8/1, кв. 4"
12,"улица Бейбитшилик 36, 010000 Нұр-Сұлтан, Қазақстан",71.41856,51.17839,"р-н Сарыарка, ул. Бейбитшилик, д. 36, кв. 22, 3"
13,"улица Ильяса Есенберлина 12, 010011 Нұр-Сұлтан, Қазақстан",71.40737,51.19086,"р-н Сарыарка, ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП 1"
14,"улица Алматы 13, 010000 Нұр-Сұлтан, Қазақстан",71.4312,51.11594,"р-н  Алматы, ул. Ш. Валиханова, д. 13"
15,"улица Сакена Сейфуллина 33, 010000 Нұр-Сұлтан, Қазақстан",71.42642,51.17182,"ул. Сейфуллина, д. 33, ВП 2"
16,"микрорайон 11-й 27, 050035 Алматы, Қазақстан",76.87346,43.21942,"11 мкр-н, д. 27"
17,"микрорайон Айнабулак-2 71D, 050014 Алматы, Қазақстан",76.91567,43.31986,"мкр. Айнабулак-2, д. 71 Д"
18,"микрорайон Айнабулак-4 172G, 050014 Алматы, Қазақстан",76.91439,43.32186,"мкр. Айнабулак-4, д. 172 Г"
19,"микрорайон Аксай-3 1, 050031 Алматы, Қазақстан",76.82846,43.23828,"мкр. Аксай-3, д. 1, помещение 69"
20,"улица Жумагали Саина 4, 050031 Алматы, Қазақстан",76.83888,43.24507,"мкр. Аксай-4, ул. Саина, д. 96А"
21,"микрорайон Казахфильм 17, 050057 Алматы, Қазақстан",76.90474,43.19443,"мкр. Казахфильм, ул. Исиналиева, д. 17"
22,"микрорайон Калкаман-2 33, Алматы, Қазақстан",76.79308,43.23012,"мкр. Калкаман-2, д. 49"
23,"микрорайон Мамыр-1 4, 050036 Алматы, Қазақстан",76.84312,43.21003,"мкр. Мамыр-1, д. 4"
24,"микрорайон Орбита-3 4A, 050043 Алматы, Қазақстан",76.87925,43.20047,"мкр. Орбита-3, д. 4А"
25,"микрорайон Самал-2 104, 050051 Алматы, Қазақстан",76.95185,43.23276,"мкр. Самал-2, д. 105"
26,"проспект Абая 141, 050009 Алматы, Қазақстан",76.89558,43.23939,"пр. Абая, д. 141"
27,"проспект Абая 34, 050022 Алматы, Қазақстан",76.93215,43.24109,"пр. Абая, д. 34/96"
28,"проспект Абая 46, 050022 Алматы, Қазақстан",76.92335,43.2405,"пр. Абая, д. 46"
29,"проспект Абылай Хана 113, 050000 Алматы, Қазақстан",76.9413,43.25259,"пр. Абылай хана, д. 113"
30,"проспект Абылай Хана 68, 050000 Алматы, Қазақстан",76.94118,43.26013,"пр. Абылай хана, д. 68"
31,"проспект Достык 248, 050051 Алматы, Қазақстан",76.96315,43.2234,"пр. Достык, д. 248"
32,"Жібек Жолы көшесі 52, 050002 Алматы, Қазақстан",76.95542,43.26233,"пр. Жибек Жолы, д. 52"
33,"проспект Райымбека 239G, 050034 Алматы, Қазақстан",76.9000169,43.2642238,"пр. Райымбека, д. 239Г"
34,"проспект Сакена Сейфуллина 168B, 050037 Алматы, Қазақстан",76.94004,43.30831,"пр. Сейфуллина, д. 168Б"
35,"проспект Сакена Сейфуллина 458, 050000 Алматы, Қазақстан",76.93272,43.25829,"пр. Сейфуллина, д. 458"
36,"переулок Ташкентский 16, 050031 Алматы, Қазақстан",76.8220336,43.233104,"Ташкентский тракт, д. 17к"
37,"улица 6-я линия 72, Алматы, Қазақстан",76.84567,43.1973,"ул. 6-я линия, д. 1/172"
38,"улица Ораза Жандосова 162A, 050042 Алматы, Қазақстан",76.8689991,43.2116998,"ул. Жандосова, д. 162а"
39,"улица Ораза Жандосова 21, 050057 Алматы, Қазақстан",76.89905,43.23198,"ул. Жандосова, д. 21"
40,"улица Динмухамеда Конаева 58, 050002 Алматы, Қазақстан",76.94948,43.26304,"ул. Кунаева, д. 58"
41,"улица Беимбета Майлина 224, 050054 Алматы, Қазақстан",76.9808,43.33382,"ул. Майлина, д. 224"
42,"улица Бауыржана Момышулы 40, 050031 Алматы, Қазақстан",76.8307638,43.2367326,"ул. Момышулы, д. 40"
43,"улица Полины Осипенко 14, 050011 Алматы, Қазақстан",76.94749,43.33988,"ул. Осипенко, д. 14"
44,"улица Абдуллы Розыбакиева 77, 050046 Алматы, Қазақстан",76.88971,43.23518,"ул. Розыбакиева, д. 77"
45,"улица Климента Тимирязева 32D, 050040 Алматы, Қазақстан",76.93132,43.22712,"ул. Тимирязева, д. 32Д"
46,"улица Климента Тимирязева 40, 050057 Алматы, Қазақстан",76.90686,43.22549,"ул. Тимирязева, д. 40"
47,"улица Толе Би 130B, 050026 Алматы, Қазақстан",76.9136,43.25235,"ул. Толе би, д. 130Б"
48,"улица Толе Би 262, 050009 Алматы, Қазақстан",76.87832,43.24988,"ул. Толе би, д. 262/93"
49,"улица Толе Би 272, 050005 Алматы, Қазақстан",76.87321,43.24885,"ул. Толе би, д. 272"
50,"улица Михаила Шолохова 6, 050011 Алматы, Қазақстан",76.95384,43.33353,"ул. Шолохова, д. 6"
51,"микрорайон 11 56, Ақтау, Қазақстан",51.15777,43.65651,"11 мкр-н, д. 58"
52,"микрорайон 14 58, Ақтау, Қазақстан",51.14408,43.65855,"14 мкр-н, д. 58"
53,"микрорайон 26 2, Ақтау, Қазақстан",51.16739,43.65911,"26 мкр-н, д. 25/2"
54,"микрорайон 27 25, Ақтау, Қазақстан",51.16535,43.66577,"27 мкр-н, д. 25, кв. 1"
55,"микрорайон 2 47B, Ақтау, Қазақстан",51.16718,43.63869,"2 мкр-н, д. 47 Б"
56,"проспект Абылхайыр Хана 1, Ақтөбе, Қазақстан",57.1474,50.31081,"пр. Абылхаир хана, д. 1"
57,"проспект Абылхайыр Хана 53, Ақтөбе, Қазақстан",57.15907,50.29519,"пр. Абылхаир хана, д. 53"
58,"проспект Абылхайыр Хана 89, Ақтөбе, Қазақстан",57.17723,50.28748,"пр. Абылхаир хана, д. 89"
59,"улица Тахави Ахтанова 4, Ақтөбе, Қазақстан",57.22724,50.27512,"ул. Ахтанова, д. 48/4"
60,"улица Заводская 43, Ақтөбе, Қазақстан",57.23204,50.27327,"ул. Заводская, д. 43, ВП 63"
61,"улица Жансена Кереева 2, Ақтөбе, Қазақстан",57.21752,50.28199,"ул. Кереева, д. 2"
62,"улица Алексея Маресьева 40, Ақтөбе, Қазақстан",57.14757,50.30268,"ул. Маресьева, д. 40"
63,"улица Мухтара Ауэзова 56, Атырау, Қазақстан",51.90923,47.08915,"пр. Ауэзова, д. 56"
64,"улица Мусы Баймуханова 52, Атырау, Қазақстан",51.93709,47.12874,"ул. Баймуханова, д. 3, кв. 52"
65,"улица Мусы Баймуханова 66B, Атырау, Қазақстан",51.95752,47.12836,"ул. Баймуханова, д. 66Б"
66,"улица Махамбета Утемисова 98, Атырау, Қазақстан",51.9287,47.1137,"ул. М.Утемисова, д. 98"
67,"улица Каныша Сатпаева 32, Атырау, Қазақстан",51.90345,47.10479,"ул. Сатпаева, д. 32, кв. 67"
68,"улица Сырыма Датова 11, Атырау, Қазақстан",51.92796,47.09689,"ул. С.Датова, д. 11"
69,"улица Алматинская 132, Еңбекшіқазақ ауданы, Қазақстан",77.46908,43.35541,"ул. Алматинская, д. 114/132"
70,"проспект Алашахана 3, Жезқазған, Қазақстан",67.71245,47.80396,"пр. Алашахана, д. 3"
71,"улица Омарова 9, Жезқазған, Қазақстан",67.71261,47.79063,"ул. Омарова, д. 9"
72,"улица Сакена Сейфуллина 17, Жезқазған, Қазақстан",67.70233,47.79204,"ул. Сейфуллина, д. 53, кв. 17"
73,"микрорайон 3 6, Қапшағай, Қазақстан",77.05649,43.85255,"3 мкр-н, д. 6"
74,"проспект Нуркена Абдирова 19, Қарағанды, Қазақстан",73.10033,49.80471,"р-н им. Казыбек би, пр. Н.Абдирова, д. 19"
75,"проспект Сакена Сейфуллина 7, Қарағанды, Қазақстан",73.06556,49.80634,"р-н им. Казыбек би, пр. Сакена Сейфуллина, д. 7, кв. 9"
76,"микрорайон Степной 3-й 8/2, Қарағанды, Қазақстан",73.15346,49.78944,"р-н Казыбек би, мкр. Степной-3, д. 8/2"
77,"проспект Бухар-Жырау 63/2, Қарағанды, Қазақстан",73.08966,49.79898,"р-н Казыбек би, пр. Бухар жырау, д. 63/2"
78,"улица Алиханова 16, Қарағанды, Қазақстан",73.09061,49.80782,"р-н Казыбек би, ул. Алиханова, д. 16"
79,"микрорайон 12-й 9A, Қарағанды, Қазақстан",73.20067,49.89635,"р-н Октябрьский, 12 мкр-н, д. 9а"
80,"улица Карла Маркса 5/1, Қарағанды, Қазақстан",73.18966,49.85205,"р-н Октябрьский, ул. К.Маркса, д. 5/1"
81,"улица Караменде Би 4, Балқаш, Қазақстан",74.97524,46.84233,"ул. Караменде би, д. 4"
82,"улица Сабита Муканова 3, Қарағанды, Қазақстан",73.14523,49.77022,"ул. Муканова, д. 3"
83,"улица Карасай батыра 25, Қарасай ауданы, Қазақстан",76.62298,43.20009,"ул. Карасай батыра, д. 25"
84,"улица Еркина Ауельбекова 115, Көкшетау, Қазақстан",69.38516,53.28372,"ул. Ауельбекова, д. 115"
85,"проспект Аль-Фараби 119, Қостанай, Қазақстан",63.61369,53.2235,"пр. Аль-Фараби, д. 119"
86,"проспект Аль-Фараби 65, Қостанай, Қазақстан",63.63676,53.2114,"пр. Аль-Фараби, д. 65"
87,"улица Ыбырая Алтынсарина 121, Қостанай, Қазақстан",63.63788,53.21566,"ул. Алтынсарина, д. 121"
88,"улица Победы 85, Қостанай, Қазақстан",63.64008,53.21934,"ул. Победы, 85"
89,"проспект Абая 38, Қызылорда, Қазақстан",65.5132,44.82717,"пр. Абая, д. 38"
90,"проспект Абая 50, Қызылорда, Қазақстан",65.51598,44.82354,"пр. Абая Кунанбаева, д. 50"
91,"улица Аскара Токмагамбетова 25, Қызылорда, Қазақстан",65.50034,44.84509,"ул. А.Токмагамбетова, д. 25"
92,"улица Аскара Токмагамбетова 1, Қызылорда, Қазақстан",65.49254,44.84244,"ул. Токмагамбетова, д. 1"
93,"улица Михаила Лермонтова 84, Павлодар, Қазақстан",76.95275,52.29119,"ул. Лермонтова, д. 82"
94,"улица Анатолия Луначарского 9, Павлодар, Қазақстан",76.94054,52.27675,"ул. Луначарского, д. 9"
95,"улица Толстого 86, Павлодар, Қазақстан",76.97096,52.2763,"ул. Толстого, д. 86"
96,"улица Султанмахмута Торайгырова 48, Павлодар, Қазақстан",76.94548,52.29715,"ул. Торайгырова, д. 48/1"
97,"улица Интернациональная 56, Қызылжар ауданы, Қазақстан",69.14233,54.86829,"ул. Интернациональная, д. 56"
98,"улица Конституции Казахстана 39, Қызылжар ауданы, Қазақстан",69.13728,54.86406,"ул. Конституции Казахстана, д. 39"
99,"улица Мира 61, Петропавловский район, Россия, 397670",40.8663399,50.12987,"ул. Мира, д. 134"
100,"улица 50 лет октября 60A, Рудный, Қазақстан",63.09259,52.96923,"ул. 50 лет Октября, д. 60а"
101,"проспект Каныша Сатпаева 119, Сәтбаев, Қазақстан",67.52656,47.9072,"пр. Сатпаева, д. 119, кв. 2"
102,"улица Шокана Уалиханова 100, Семей, Қазақстан",80.26108,50.41144,"ул. Валиханова, д. 100/112"
103,"улица Шокана Уалиханова 100B, Семей, Қазақстан",80.26108,50.41144,"ул. Валиханова, д. 100Б"
104,"улица Михаила Глинки 47A, Семей, Қазақстан",80.20983,50.39779,"ул. Глинки, д. 47а"
105,"улица Александра Засядко 131, Семей, Қазақстан",80.25753,50.42268,"ул. Засядко, д. 88, кв. 131"
106,"микрорайон Молодёжный 40, Талдықорған, Қазақстан",78.35619,45.0001,"мкр. Молодежный, д. 40, кв. 2"
107,"улица Абылай Хана 141, Талдықорған, Қазақстан",78.38779,45.01505,"ул. Абылай хана, д. 141"
108,"улица Гали Орманова 5, Талдықорған, Қазақстан",78.36899,45.01827,"ул. Гали Орманова, д. 5, кв. 1"
109,"проспект Абая 134, Жамбыл ауданы, Қазақстан",71.37759,42.89621,"пр. Абая, д. 134, кв. 50"
110,"улица Казыбек Би 142, Жамбыл ауданы, Қазақстан",71.36328,42.89784,"ул. Казыбек би, д. 142"
111,"улица Привокзальная 7B, Жамбыл ауданы, Қазақстан",71.37945,42.87024,"ул. Привокзальная, д. 7Б"
112,"проспект Металлургов 21, Теміртау, Қазақстан",72.96841,50.05598,"пр. Металлургов, д. 21"
113,"проспект Мира 92A, Теміртау, Қазақстан",72.96286,50.05205,"пр. Мира, д. 92а"
114,"проспект Тауке Хана 284, 161200 Түркістан, Қазақстан",68.26276,43.30089,"пр. Тауке Хана, д. 284"
115,"проспект Абулхайыр Хана 157, Орал, Қазақстан",51.41602,51.2437,"пр. Абылхаир хана, д. 157"
116,"улица Достык 23/1, Орал, Қазақстан",51.43915,51.26308,"пр. Достык, д. 175А"
117,"проспект Евразия 190, Орал, Қазақстан",51.39278,51.22078,"пр. Евразия, д. 190"
118,"проспект Независимости 17, Риддер, Қазақстан",83.50477,50.33678,"пр. Независимости, д. 17"
119,"улица Виктора Чернова 46, Өскемен, Қазақстан",82.60203,49.9735,"ул. Антона Чехова, д. 46"
120,"улица Виктора Виноградова 12, Өскемен, Қазақстан",82.5862,49.96342,"ул. Виноградова, д. 12"
121,"улица Казахстан 65, Өскемен, Қазақстан",82.6299,49.95159,"ул. Казахстан, д. 65"
122,"улица Дмитрия Крылова 73, Өскемен, Қазақстан",82.6125,49.94627,"ул. Крылова, д. 73"
123,"Советская улица 38, Алтайский район, Россия",85.3363,51.93433,"ул. Советская, д. 38"
124,"проспект Абая Кунанбаева 58, Шахтинск, Қазақстан",72.59882,49.70298,"пр. Абая Кунанбаева, д. 58"
125,"улица Шокана Уалиханова 11, Шымкент, Қазақстан",69.54195,42.28939,"11 мкр-н, ул. Уалиханова, д. 219"
126,"микрорайон 16 43, Шымкент, Қазақстан",69.6368,42.33704,"16 мкр-н, д. 43, кв. 2"
127,"микрорайон Спортивный 6, Шымкент, Қазақстан",69.59869,42.33388,"мкр. Спортивный, д. 6, кв. 57"
128,"проспект Республики 1, Шымкент, Қазақстан",69.5870155,42.3201629,"пр. Республики, д. 1"
129,"улица Ж. Адырбекова 159, Шымкент, Қазақстан",69.61985,42.33469,"ул. Адырбекова, д. 178А"
130,"улица Кабанбай батыра 12, Шымкент, Қазақстан",69.60688,42.30218,"ул. Кабанбай батыра, д. 16"
131,"улица Казыбек Би 18, Шымкент, Қазақстан",69.60195,42.31272,"ул. Казыбек би, д. 18"
132,"улица Шамшы Калдаякова 4/3, Шымкент, Қазақстан",69.58123,42.30997,"ул. Калдаякова, д. 4/3"
133,"улица А. Саыкбаева 49, 160100 Арыс, Қазақстан",68.8072751,42.4253378,"ул. Салыкбаева, д. 10"
134,"улица Мухтара Ауэзова 34, 021700 Бурабай ауданы, Қазақстан",70.21287,52.94246,"ул. Ауэзова, д. 34, кв. 47"
135,"улица Мухтара Ауэзова 30, Екібастұз, Қазақстан",75.32057,51.72949,"ул. Ауэзова, д. 30"
